image_path,label,defect_type,score,valid_patches,disk_read_ms,rgb_conversion_ms,resize_ms,canvas_paste_ms,valid_mask_ms,pil_to_tensor_ms,normalize_ms,cpu_to_gpu_ms,feature_extraction_ms,patch_processing_ms,nearest_neighbor_ms,total_ms
data\3CAD\Aluminum_Camera_Cover\test\aotu\000000.png,1,aotu,0.7890750169754028,1024,4.721099976450205,0.9720000089146197,3.2094999914988875,0.08369999704882503,0.20589999621734023,0.4886999959126115,0.6585000082850456,0.36589999217540026,2.432700013741851,0.6074999691918492,9.594400005880743,23.71749997837469
data\3CAD\Aluminum_Camera_Cover\test\aotu\000003.png,1,aotu,0.8172910213470459,1024,3.5124000278301537,1.0997999925166368,3.952800005208701,0.14509999891743064,0.19939994672313333,0.5122000002302229,0.6050000083632767,0.381199992261827,2.370000001974404,0.525799987372011,9.5193000161089,23.257500026375055
data\3CAD\Aluminum_Camera_Cover\test\aotu\000004.png,1,aotu,0.7805242538452148,1024,4.022200009785593,0.9815999655984342,3.0919999699108303,0.04549999721348286,0.11940003605559468,0.44929998693987727,0.5348999984562397,0.26810000417754054,1.8335000495426357,0.4659000551328063,9.52980003785342,21.655999997165054
data\3CAD\Aluminum_Camera_Cover\test\aotu\000006.png,1,aotu,0.7460782527923584,1024,3.0818000086583197,1.0739000281319022,3.8843000074848533,0.047200010158121586,0.13229995965957642,0.4749000072479248,0.5726999952457845,0.29579998226836324,1.9521999638527632,0.4428999964147806,9.481499961111695,21.749300009105355
data\3CAD\Aluminum_Camera_Cover\test\aotu\000009.png,1,aotu,0.7605640888214111,1024,2.949399990029633,1.179100014269352,4.085900029167533,0.043599982745945454,0.1238000113517046,0.42669998947530985,0.58230001013726,0.27550000231713057,2.1992999827489257,0.5229999660514295,9.61720000486821,22.397099994122982
data\3CAD\Aluminum_Camera_Cover\test\aotu\000010.png,1,aotu,0.7405332922935486,1024,4.107400018256158,1.1015000054612756,4.269200027920306,0.08089997572824359,0.20270003005862236,0.6317999796010554,0.6446000188589096,0.35769998794421554,2.4039000272750854,0.5233000265434384,9.314500028267503,24.054399982560426
data\3CAD\Aluminum_Camera_Cover\test\aotu\000011.png,1,aotu,0.7290283441543579,1024,4.193499975372106,1.160499989055097,3.632600011769682,0.0678999931551516,0.19530003191903234,0.4895000020042062,0.639100035186857,0.31019997550174594,2.2471999982371926,0.520500005222857,9.309799992479384,23.155700007919222
data\3CAD\Aluminum_Camera_Cover\test\aotu\000012.png,1,aotu,0.7516507506370544,1024,3.943099989555776,1.0656000231392682,4.105400003027171,0.0955999712459743,0.1417000312358141,0.4465999663807452,0.5843000253662467,0.30180002795532346,2.2133999736979604,0.507800024934113,9.303700004238635,23.093399999197572
data\3CAD\Aluminum_Camera_Cover\test\aotu\000013.png,1,aotu,0.6657806634902954,1024,3.970900026615709,1.0296999826095998,3.1716999947093427,0.06560003384947777,0.12749998131766915,0.39870000910013914,0.5957999965175986,0.2497999812476337,1.914299966301769,0.47170004108920693,9.304100007284433,21.622000029310584
data\3CAD\Aluminum_Camera_Cover\test\aotu\000014.png,1,aotu,0.6670408844947815,1024,3.5405000089667737,1.0102000087499619,3.251000016462058,0.05360000068321824,0.16009999671950936,0.5241999751888216,0.6320999818854034,0.35119999665766954,2.4264000239782035,0.5607999628409743,9.316800045780838,22.243899991735816
data\3CAD\Aluminum_Camera_Cover\test\aotu\000017.png,1,aotu,0.7642406225204468,1024,4.141399986110628,1.260699995327741,4.256799991708249,0.05360000068321824,0.1506999833509326,0.5534000229090452,0.624299980700016,0.4255000385455787,2.53649998921901,0.561299966648221,9.317500051110983,24.31909996084869
data\3CAD\Aluminum_Camera_Cover\test\aotu\000021.png,1,aotu,0.7053552865982056,1024,3.818499972112477,1.0513999732211232,4.120700003113598,0.09730004239827394,0.14600000577047467,0.44409994734451175,0.5855000345036387,0.31949998810887337,2.255900006275624,0.5312999710440636,9.32240003021434,23.094199947081506
data\3CAD\Aluminum_Camera_Cover\test\aotu\000026.png,1,aotu,0.6648702621459961,1024,3.5126000293530524,1.003699959255755,3.3659000182524323,0.06440002471208572,0.1487999688833952,0.4233000217936933,0.590600015129894,0.2521999995224178,1.9611000316217542,0.4924999666400254,9.330600034445524,21.483800024725497
data\3CAD\Aluminum_Camera_Cover\test\aotu\000027.png,1,aotu,0.6652550101280212,1024,2.9962999979034066,1.027999969664961,4.026600043289363,0.09129999671131372,0.16979995416477323,0.4459000192582607,0.5363000091165304,0.3279999946244061,2.286000002641231,0.5459000240080059,9.324699989520013,22.18129998072982
data\3CAD\Aluminum_Camera_Cover\test\aotu\000028.png,1,aotu,0.6877518892288208,1024,3.5161999985575676,1.040700008161366,4.083800013177097,0.10649999603629112,0.21460000425577164,0.5221000174060464,0.6249999860301614,0.3381000133231282,2.35290004638955,0.5966000026091933,9.315599978435785,23.20170000893995
data\3CAD\Aluminum_Camera_Cover\test\aotu\000029.png,1,aotu,0.7120491862297058,1024,3.4471999970264733,0.977399991825223,3.6832999903708696,0.13880000915378332,0.25350000942125916,0.5567000480368733,0.5807999987155199,0.3890999942086637,2.5050000404007733,0.5955000524409115,9.337399969808757,22.912400017958134
data\3CAD\Aluminum_Camera_Cover\test\aotu\000031.png,1,aotu,0.6961690187454224,1024,3.552999987732619,0.9993999847210944,3.364900010637939,0.08530000923201442,0.13400003081187606,0.408699968829751,0.5275000003166497,0.2559999702498317,1.9823999609798193,0.49780000699684024,9.31940000737086,21.44929999485612
data\3CAD\Aluminum_Camera_Cover\test\aotu\000034.png,1,aotu,0.7509238719940186,1024,3.8314000121317804,1.0819999733939767,4.20930003747344,0.09220000356435776,0.15710003208369017,0.4653999931178987,0.4437000025063753,0.32300001475960016,2.352600044105202,0.5209999508224428,9.493599995039403,23.372599971480668
data\3CAD\Aluminum_Camera_Cover\test\aotu\000035.png,1,aotu,0.6990020871162415,1024,5.056999973021448,0.965300016105175,4.781799972988665,0.0792999635450542,0.25350000942125916,0.5904000136069953,0.637299963273108,0.4157000221312046,4.487600002903491,0.7931999862194061,9.362999990116805,27.966000023297966
data\3CAD\Aluminum_Camera_Cover\test\aotu\000037.png,1,aotu,0.722517728805542,1024,3.2509000157006085,1.0334000107832253,3.9052999927662313,0.08339999476447701,0.16470003174617887,0.43489999370649457,0.5800999933853745,0.2665999927558005,2.083199971821159,0.5221000174060464,9.344199963379651,22.032100008800626
data\3CAD\Aluminum_Camera_Cover\test\aotu\000041.png,1,aotu,0.5493831634521484,1024,5.038300005253404,0.9817999671213329,3.446900052949786,0.10150001617148519,0.20269997185096145,0.46030001249164343,0.44510001316666603,0.381199992261827,2.4551000096835196,0.5456000217236578,9.359599964227527,23.842299997340888
data\3CAD\Aluminum_Camera_Cover\test\aotu\000044.png,1,aotu,0.7021800875663757,1024,4.257799999322742,1.0562000097706914,3.373200015630573,0.04959997022524476,0.14780001947656274,0.4848999669775367,0.5868999869562685,0.3074000123888254,2.1813000203110278,0.5460000247694552,9.281000006012619,22.64199999626726
data\3CAD\Aluminum_Camera_Cover\test\aotu\000045.png,1,aotu,0.7721843123435974,1024,4.040000028908253,1.0531000443734229,3.4155999892391264,0.04539999645203352,0.10539998766034842,0.41420001070946455,0.5629999795928597,0.27089996729046106,2.062499988824129,0.4827999509871006,9.318799944594502,22.108800010755658
