defect_type,image_name,original_width,original_height,original_defect_pixels,cropped_defect_pixels,retention_ratio,loss_ratio,fully_lost
aotu,000000.png,1024,1024,1624,99,0.060961,0.939039,False
aotu,000001.png,1024,1024,1191,74,0.062133,0.937867,False
aotu,000002.png,1024,1024,857,54,0.063011,0.936989,False
aotu,000003.png,1024,1024,41685,2616,0.062756,0.937244,False
aotu,000004.png,1024,1024,49299,3081,0.062496,0.937504,False
aotu,000005.png,1024,1024,11117,621,0.055860,0.944140,False
aotu,000006.png,1024,1024,44548,2791,0.062652,0.937348,False
aotu,000007.png,1024,1024,21503,776,0.036088,0.963912,False
aotu,000008.png,1024,1024,39508,2462,0.062316,0.937684,False
aotu,000009.png,1024,1024,24351,1512,0.062092,0.937908,False
aotu,000010.png,1024,1024,370,22,0.059459,0.940541,False
aotu,000011.png,1024,1024,640,37,0.057813,0.942187,False
aotu,000012.png,1024,1024,1413,86,0.060863,0.939137,False
aotu,000013.png,1024,1024,3507,222,0.063302,0.936698,False
aotu,000014.png,1024,1024,1484,92,0.061995,0.938005,False
aotu,000015.png,1024,1024,1500,96,0.064000,0.936000,False
aotu,000016.png,1024,1024,1748,107,0.061213,0.938787,False
aotu,000017.png,1024,1024,850,53,0.062353,0.937647,False
aotu,000018.png,1024,1024,356,20,0.056180,0.943820,False
aotu,000019.png,1024,1024,3671,230,0.062653,0.937347,False
aotu,000020.png,1024,1024,2343,149,0.063594,0.936406,False
aotu,000021.png,1024,1024,1918,119,0.062044,0.937956,False
aotu,000022.png,1024,1024,3640,228,0.062637,0.937363,False
aotu,000023.png,1024,1024,2534,156,0.061563,0.938437,False
aotu,000024.png,1024,1024,33139,1247,0.037629,0.962371,False
aotu,000025.png,1024,1024,7258,158,0.021769,0.978231,False
aotu,000026.png,1024,1024,18251,1141,0.062517,0.937483,False
aotu,000027.png,1024,1024,14473,359,0.024805,0.975195,False
aotu,000028.png,1024,1024,1777,110,0.061902,0.938098,False
aotu,000029.png,1024,1024,200,12,0.060000,0.940000,False
aotu,000030.png,1024,1024,8905,558,0.062661,0.937339,False
aotu,000031.png,1024,1024,22113,1392,0.062949,0.937051,False
aotu,000032.png,1024,1024,18081,1133,0.062662,0.937338,False
aotu,000033.png,1024,1024,11206,690,0.061574,0.938426,False
aotu,000034.png,1024,1024,20033,1252,0.062497,0.937503,False
aotu,000035.png,1024,1024,24178,826,0.034163,0.965837,False
aotu,000036.png,1024,1024,14682,431,0.029356,0.970644,False
aotu,000037.png,1024,1024,4339,56,0.012906,0.987094,False
aotu,000038.png,1024,1024,31974,1348,0.042159,0.957841,False
aotu,000039.png,1024,1024,20363,621,0.030496,0.969504,False
aotu,000040.png,1024,1024,34735,2164,0.062300,0.937700,False
aotu,000041.png,1024,1024,11102,686,0.061791,0.938209,False
aotu,000042.png,1024,1024,27074,1679,0.062015,0.937985,False
aotu,000043.png,1024,1024,44917,2808,0.062515,0.937485,False
aotu,000044.png,1024,1024,36585,2284,0.062430,0.937570,False
aotu,000045.png,1024,1024,23644,1476,0.062426,0.937574,False
aotu,000046.png,1024,1024,12400,782,0.063065,0.936935,False
aotu,000047.png,1024,1024,19539,1203,0.061569,0.938431,False
aotu,000048.png,1024,1024,49896,3102,0.062169,0.937831,False
aotu,000049.png,1024,1024,66313,4148,0.062552,0.937448,False
aotu,000050.png,1024,1024,42749,2674,0.062551,0.937449,False
aotu,000051.png,1024,1024,47698,2960,0.062057,0.937943,False
aotu,000052.png,1024,1024,12763,798,0.062524,0.937476,False
aotu,000053.png,1024,1024,12763,552,0.043250,0.956750,False
aotu,000054.png,1024,1024,18199,1135,0.062366,0.937634,False
aotu,000055.png,1024,1024,13994,886,0.063313,0.936687,False
aotu,000056.png,1024,1024,890,56,0.062921,0.937079,False
aotu,000057.png,1024,1024,2492,155,0.062199,0.937801,False
aotu,000058.png,1024,1024,1094,69,0.063071,0.936929,False
aotu,000059.png,1024,1024,21376,1343,0.062827,0.937173,False
aotu,000060.png,1024,1024,74538,4662,0.062545,0.937455,False
aotu,000061.png,1024,1024,64858,4060,0.062598,0.937402,False
aotu,000062.png,1024,1024,26894,1375,0.051127,0.948873,False
aotu,000063.png,1024,1024,55786,3487,0.062507,0.937493,False
aotu,000064.png,1024,1024,30421,1707,0.056113,0.943887,False
aotu,000065.png,1024,1024,27997,1249,0.044612,0.955388,False
aotu,000066.png,1024,1024,16378,550,0.033582,0.966418,False
aotu,000067.png,1024,1024,23935,1327,0.055442,0.944558,False
aotu,000068.png,1024,1024,52554,3278,0.062374,0.937626,False
aotu,000069.png,1024,1024,27140,1132,0.041710,0.958290,False
aotu,000070.png,1024,1024,16108,517,0.032096,0.967904,False
aotu,000071.png,1024,1024,18434,637,0.034556,0.965444,False
aotu,000072.png,1024,1024,46831,2929,0.062544,0.937456,False
aotu,000073.png,1024,1024,53880,2585,0.047977,0.952023,False
aotu,000074.png,1024,1024,59420,3177,0.053467,0.946533,False
aotu,000075.png,1024,1024,19886,1244,0.062557,0.937443,False
aotu,000076.png,1024,1024,24484,1542,0.062980,0.937020,False
aotu,000077.png,1024,1024,23435,1454,0.062044,0.937956,False
aotu,000078.png,1024,1024,6725,421,0.062602,0.937398,False
aotu,000079.png,1024,1024,16611,793,0.047739,0.952261,False
bianxing,000000.png,1024,1024,17571,1083,0.061636,0.938364,False
bianxing,000001.png,1024,1024,58512,3667,0.062671,0.937329,False
bianxing,000002.png,1024,1024,23036,509,0.022096,0.977904,False
bianxing,000003.png,768,288,1702,0,0.000000,1.000000,True
bianxing,000004.png,768,288,4967,784,0.157842,0.842158,False
bianxing,000005.png,768,288,4164,921,0.221182,0.778818,False
bianxing,000006.png,1024,1024,10155,632,0.062235,0.937765,False
bianxing,000007.png,1024,1024,55362,3458,0.062462,0.937538,False
bianxing,000008.png,1024,1024,25474,1583,0.062142,0.937858,False
bianxing,000009.png,1024,1024,68047,4240,0.062310,0.937690,False
bianxing,000010.png,1024,1024,60406,3786,0.062676,0.937324,False
bianxing,000011.png,1024,1024,29907,690,0.023072,0.976928,False
bianxing,000012.png,1024,1024,76848,3397,0.044204,0.955796,False
bianxing,000013.png,1024,1024,32473,1254,0.038617,0.961383,False
bianxing,000014.png,1024,1024,16571,249,0.015026,0.984974,False
bianxing,000015.png,1024,1024,6057,0,0.000000,1.000000,True
bianxing,000016.png,1024,1024,12391,769,0.062061,0.937939,False
bianxing,000017.png,1024,1024,34587,2149,0.062133,0.937867,False
bianxing,000018.png,1024,1024,53554,3336,0.062292,0.937708,False
bianxing,000019.png,1024,1024,11249,706,0.062761,0.937239,False
bianxing,000020.png,1024,1024,29130,1809,0.062101,0.937899,False
bianxing,000021.png,1024,1024,110513,6904,0.062472,0.937528,False
bianxing,000022.png,1024,1024,31123,1760,0.056550,0.943450,False
bianxing,000023.png,1024,1024,65084,3535,0.054314,0.945686,False
bianxing,000024.png,1024,1024,163910,9390,0.057288,0.942712,False
bianxing,000025.png,1024,1024,60260,2675,0.044391,0.955609,False
bianxing,000026.png,1024,1024,55568,2776,0.049957,0.950043,False
bianxing,000027.png,1024,1024,49003,2404,0.049058,0.950942,False
bianxing,000028.png,1024,1024,87303,3313,0.037948,0.962052,False
bianxing,000029.png,1024,1024,92255,4034,0.043727,0.956273,False
bianxing,000030.png,1024,1024,33512,2091,0.062396,0.937604,False
bianxing,000031.png,1024,1024,29528,1173,0.039725,0.960275,False
bianxing,000032.png,1024,1024,21918,313,0.014281,0.985719,False
bianxing,000033.png,1024,1024,10002,620,0.061988,0.938012,False
bianxing,000034.png,1024,1024,78809,4403,0.055869,0.944131,False
bianxing,000035.png,1024,1024,90838,4361,0.048009,0.951991,False
bianxing,000036.png,1024,1024,23631,507,0.021455,0.978545,False
bianxing,000037.png,1024,1024,78961,3243,0.041071,0.958929,False
bianxing,000038.png,952,576,2865,0,0.000000,1.000000,True
bianxing,000039.png,952,576,41468,1954,0.047121,0.952879,False
fabai,000000.png,1024,1024,2280,79,0.034649,0.965351,False
fabai,000001.png,1024,1024,1235,77,0.062348,0.937652,False
fabai,000002.png,1024,1024,2810,179,0.063701,0.936299,False
fabai,000003.png,1024,1024,2701,62,0.022954,0.977046,False
fabai,000004.png,1024,1024,4102,264,0.064359,0.935641,False
fabai,000005.png,400,288,17502,9628,0.550109,0.449891,False
fabai,000006.png,1024,1024,8442,527,0.062426,0.937574,False
fabai,000007.png,1024,1024,5300,196,0.036981,0.963019,False
fabai,000008.png,1024,1024,17303,977,0.056464,0.943536,False
fabai,000009.png,1024,1024,2228,139,0.062388,0.937612,False
fabai,000010.png,1024,1024,4365,282,0.064605,0.935395,False
fabai,000011.png,1024,1024,26892,1636,0.060836,0.939164,False
fabai,000012.png,1024,1024,18600,682,0.036667,0.963333,False
fabai,000013.png,1024,1024,5348,330,0.061705,0.938295,False
fabai,000014.png,1024,1024,2085,134,0.064269,0.935731,False
fabai,000015.png,1024,1024,18158,1123,0.061846,0.938154,False
fabai,000016.png,1024,1024,13482,841,0.062379,0.937621,False
fabai,000017.png,1024,1024,10827,153,0.014131,0.985869,False
fabai,000018.png,1024,1024,7244,456,0.062949,0.937051,False
fabai,000019.png,1024,1024,2820,11,0.003901,0.996099,False
fabai,000020.png,1024,1024,12357,774,0.062637,0.937363,False
fabai,000021.png,1024,1024,19940,586,0.029388,0.970612,False
fabai,000022.png,1024,1024,22404,1408,0.062846,0.937154,False
fabai,000023.png,1024,1024,26542,1664,0.062693,0.937307,False
fabai,000024.png,1024,1024,2975,99,0.033277,0.966723,False
fabai,000025.png,1024,1024,14543,670,0.046070,0.953930,False
fabai,000026.png,1024,1024,2654,99,0.037302,0.962698,False
fabai,000027.png,1024,1024,6391,366,0.057268,0.942732,False
fabai,000028.png,1024,1024,3125,171,0.054720,0.945280,False
fabai,000029.png,1024,1024,2237,138,0.061690,0.938310,False
fabai,000030.png,1024,1024,6636,375,0.056510,0.943490,False
fabai,000031.png,600,576,22537,4428,0.196477,0.803523,False
fabai,000032.png,600,576,47667,9362,0.196404,0.803596,False
fabai,000033.png,688,288,44372,18802,0.423736,0.576264,False
fabai,000034.png,688,288,40765,16860,0.413590,0.586410,False
fabai,000035.png,688,288,38528,16335,0.423977,0.576023,False
fabai,000036.png,688,288,40392,16531,0.409264,0.590736,False
fabai,000037.png,1024,1024,11148,659,0.059114,0.940886,False
fabai,000038.png,1024,1024,10589,312,0.029465,0.970535,False
fabai,000039.png,1024,1024,22175,1229,0.055423,0.944577,False
fabai,000040.png,1024,1024,7740,60,0.007752,0.992248,False
fabai,000041.png,1024,1024,1692,96,0.056738,0.943262,False
fabai,000042.png,1024,1024,19053,1134,0.059518,0.940482,False
fabai,000043.png,1024,1024,303192,17878,0.058966,0.941034,False
fabai,000044.png,1024,1024,370322,22461,0.060653,0.939347,False
fabai,000045.png,1024,1024,325885,19999,0.061368,0.938632,False
fabai,000046.png,688,288,26609,12089,0.454320,0.545680,False
fabai,000047.png,688,288,46102,18988,0.411869,0.588131,False
fabai,000048.png,688,288,18064,0,0.000000,1.000000,True
fabai,000049.png,688,288,36991,6833,0.184721,0.815279,False
fabai,000050.png,688,288,43283,12670,0.292725,0.707275,False
fabai,000051.png,1024,1024,2376,149,0.062710,0.937290,False
fabai,000052.png,1024,1024,13915,876,0.062954,0.937046,False
fabai,000053.png,1024,1024,19108,1195,0.062539,0.937461,False
fabai,000054.png,1024,1024,345925,20257,0.058559,0.941441,False
fabai,000055.png,1024,1024,420651,23807,0.056596,0.943404,False
fabai,000056.png,1024,1024,369565,21505,0.058190,0.941810,False
fabai,000057.png,1024,1024,413755,23710,0.057304,0.942696,False
fabai,000058.png,1024,1024,439044,24713,0.056288,0.943712,False
fabai,000059.png,1024,1024,352578,20780,0.058937,0.941063,False
fabai,000060.png,1024,1024,438705,24760,0.056439,0.943561,False
fabai,000061.png,950,800,171844,17595,0.102389,0.897611,False
fabai,000062.png,950,800,170039,17371,0.102159,0.897841,False
fabai,000063.png,950,800,169976,17381,0.102256,0.897744,False
fabai,000064.png,950,800,167953,17186,0.102326,0.897674,False
fabai,000065.png,950,800,56461,5775,0.102283,0.897717,False
fabai,000066.png,950,800,25605,2613,0.102050,0.897950,False
fabai,000067.png,1024,1024,10198,493,0.048343,0.951657,False
fabai,000068.png,1024,1024,2536,112,0.044164,0.955836,False
fabai,000069.png,1024,1024,15098,943,0.062459,0.937541,False
fabai,000070.png,950,800,175663,17873,0.101746,0.898254,False
fabai,000071.png,950,800,31825,3267,0.102655,0.897345,False
fabai,000072.png,950,800,178202,18169,0.101957,0.898043,False
fabai,000073.png,950,800,74457,7603,0.102113,0.897887,False
fabai,000074.png,950,800,164682,16532,0.100387,0.899613,False
fabai,000075.png,950,800,16979,1498,0.088227,0.911773,False
fabai,000076.png,950,800,164308,16419,0.099928,0.900072,False
fabai,000077.png,950,800,165775,16633,0.100335,0.899665,False
fabai,000078.png,950,800,141451,14145,0.099999,0.900001,False
fabai,000079.png,950,800,133560,13453,0.100726,0.899274,False
fabai,000080.png,1024,1024,730,8,0.010959,0.989041,False
fabai,000081.png,1024,1024,8307,339,0.040809,0.959191,False
fabai,000082.png,1024,1024,2038,57,0.027969,0.972031,False
fabai,000083.png,800,288,40214,17459,0.434152,0.565848,False
fabai,000084.png,800,288,56771,20835,0.367001,0.632999,False
fabai,000085.png,800,288,55906,20174,0.360856,0.639144,False
fabai,000086.png,800,288,3289,0,0.000000,1.000000,True
fabai,000087.png,400,288,15814,9145,0.578285,0.421715,False
fabai,000088.png,400,288,21904,13392,0.611395,0.388605,False
fabai,000089.png,400,288,14753,7977,0.540704,0.459296,False
fabai,000090.png,720,288,12054,2100,0.174216,0.825784,False
fabai,000091.png,720,288,25754,3980,0.154539,0.845461,False
fabai,000092.png,720,288,237,145,0.611814,0.388186,False
fabai,000093.png,720,288,11729,1077,0.091824,0.908176,False
fabai,000094.png,600,576,15419,3029,0.196446,0.803554,False
fabai,000095.png,400,288,20932,11446,0.546818,0.453182,False
fabai,000096.png,400,288,21790,12287,0.563883,0.436117,False
fabai,000097.png,950,800,169888,16440,0.096770,0.903230,False
fabai,000098.png,950,800,169334,16412,0.096921,0.903079,False
fabai,000099.png,950,800,83259,8200,0.098488,0.901512,False
fabai,000100.png,950,800,170224,16485,0.096843,0.903157,False
fabai,000101.png,950,800,170164,16481,0.096854,0.903146,False
fabai,000102.png,950,800,130685,12615,0.096530,0.903470,False
fabai,000103.png,950,800,109126,10205,0.093516,0.906484,False
fabai,000104.png,952,576,108713,13157,0.121025,0.878975,False
fabai,000105.png,688,288,50644,19657,0.388141,0.611859,False
fabai,000106.png,800,288,5095,2058,0.403925,0.596075,False
fabai,000107.png,800,288,16450,0,0.000000,1.000000,True
guoxi,000000.png,952,576,12041,0,0.000000,1.000000,True
guoxi,000001.png,952,576,146161,18811,0.128701,0.871299,False
guoxi,000002.png,600,576,40165,7925,0.197311,0.802689,False
guoxi,000003.png,600,576,131360,25833,0.196658,0.803342,False
guoxi,000004.png,600,576,98599,19434,0.197101,0.802899,False
guoxi,000005.png,600,576,64189,12662,0.197261,0.802739,False
guoxi,000006.png,600,576,42166,8363,0.198335,0.801665,False
guoxi,000007.png,600,576,100037,19832,0.198247,0.801753,False
guoxi,000008.png,600,576,93950,18580,0.197765,0.802235,False
guoxi,000009.png,600,576,95676,18820,0.196706,0.803294,False
guoxi,000010.png,952,576,103945,10279,0.098889,0.901111,False
guoxi,000011.png,768,288,61227,19568,0.319598,0.680402,False
guoxi,000012.png,768,288,54627,19356,0.354330,0.645670,False
guoxi,000013.png,952,576,5773,184,0.031873,0.968127,False
guoxi,000014.png,952,576,10050,663,0.065970,0.934030,False
guoxi,000015.png,952,576,73035,7389,0.101171,0.898829,False
guoxi,000016.png,600,576,18734,3707,0.197876,0.802124,False
guoxi,000017.png,600,576,100614,19882,0.197607,0.802393,False
guoxi,000018.png,952,576,216813,32775,0.151167,0.848833,False
guoxi,000019.png,688,288,7137,2623,0.367521,0.632479,False
guoxi,000020.png,448,288,29969,18699,0.623945,0.376055,False
guoxi,000021.png,952,576,55040,2920,0.053052,0.946948,False
guoxi,000022.png,952,576,114505,13250,0.115715,0.884285,False
guoxi,000023.png,952,576,255315,33273,0.130321,0.869679,False
guoxi,000024.png,448,288,26278,16413,0.624591,0.375409,False
guoxi,000025.png,448,288,23512,14241,0.605691,0.394309,False
guoxi,000026.png,448,288,16571,6449,0.389174,0.610826,False
guoxi,000027.png,448,288,5864,0,0.000000,1.000000,True
guoxi,000028.png,952,576,12170,0,0.000000,1.000000,True
guoxi,000029.png,952,576,86997,7771,0.089325,0.910675,False
guoxi,000030.png,600,576,131354,25857,0.196850,0.803150,False
guoxi,000031.png,600,576,9567,1897,0.198286,0.801714,False
guoxi,000032.png,600,576,50130,9846,0.196409,0.803591,False
guoxi,000033.png,800,288,18344,7048,0.384213,0.615787,False
guoxi,000034.png,800,288,10327,3555,0.344243,0.655757,False
guoxi,000035.png,800,288,20078,7464,0.371750,0.628250,False
guoxi,000036.png,800,288,47519,25664,0.540079,0.459921,False
guoxi,000037.png,800,288,49008,24845,0.506958,0.493042,False
guoxi,000038.png,800,288,69880,29225,0.418217,0.581783,False
guoxi,000039.png,800,288,71758,30160,0.420302,0.579698,False
guoxi,000040.png,720,288,7482,0,0.000000,1.000000,True
guoxi,000041.png,720,288,52780,19936,0.377719,0.622281,False
guoxi,000042.png,720,288,3311,0,0.000000,1.000000,True
guoxi,000043.png,720,288,31628,15629,0.494151,0.505849,False
guoxi,000044.png,720,288,332,261,0.786145,0.213855,False
guoxi,000045.png,952,576,1365,0,0.000000,1.000000,True
guoxi,000046.png,600,576,15138,2985,0.197186,0.802814,False
guoxi,000047.png,688,288,844,668,0.791469,0.208531,False
guoxi,000048.png,600,576,115375,22732,0.197027,0.802973,False
guoxi,000049.png,600,576,121020,23796,0.196629,0.803371,False
guoxi,000050.png,600,576,52890,10443,0.197448,0.802552,False
guoxi,000051.png,600,576,131469,25880,0.196852,0.803148,False
guoxi,000052.png,288,288,8213,5486,0.667965,0.332035,False
guoxi,000053.png,288,288,2411,1763,0.731232,0.268768,False
guoxi,000054.png,288,288,14242,9845,0.691265,0.308735,False
guoxi,000055.png,288,288,13132,9831,0.748629,0.251371,False
guoxi,000056.png,600,576,80042,15805,0.197459,0.802541,False
guoxi,000057.png,600,576,126702,24933,0.196785,0.803215,False
guoxi,000058.png,600,576,125322,24724,0.197284,0.802716,False
guoxi,000059.png,600,576,129887,25488,0.196232,0.803768,False
guoxi,000060.png,600,576,125779,24707,0.196432,0.803568,False
guoxi,000061.png,600,576,124859,24518,0.196366,0.803634,False
guoxi,000062.png,600,576,119576,23553,0.196971,0.803029,False
guoxi,000063.png,600,576,78808,15523,0.196972,0.803028,False
guoxi,000064.png,600,576,3104,621,0.200064,0.799936,False
guoxi,000065.png,600,576,123733,24357,0.196851,0.803149,False
guoxi,000066.png,600,576,120714,23776,0.196961,0.803039,False
guoxi,000067.png,600,576,86857,17111,0.197002,0.802998,False
guoxi,000068.png,600,576,106879,21146,0.197850,0.802150,False
guoxi,000069.png,600,576,96426,19003,0.197073,0.802927,False
guoxi,000070.png,600,576,144259,28396,0.196840,0.803160,False
guoxi,000071.png,600,576,40608,8012,0.197301,0.802699,False
guoxi,000072.png,600,576,134175,26485,0.197391,0.802609,False
guoxi,000073.png,600,576,126514,24877,0.196634,0.803366,False
guoxi,000074.png,600,576,25207,4982,0.197644,0.802356,False
huashang,000000.png,1024,1024,10964,640,0.058373,0.941627,False
huashang,000001.png,1024,1024,14844,872,0.058744,0.941256,False
huashang,000002.png,1024,1024,9189,525,0.057134,0.942866,False
huashang,000003.png,1024,1024,12388,772,0.062318,0.937682,False
huashang,000004.png,1024,1024,12031,704,0.058516,0.941484,False
huashang,000005.png,1024,1024,9238,526,0.056939,0.943061,False
huashang,000006.png,1024,1024,12555,732,0.058303,0.941697,False
huashang,000007.png,1024,1024,11339,705,0.062175,0.937825,False
huashang,000008.png,1024,1024,12779,780,0.061038,0.938962,False
huashang,000009.png,1024,1024,14028,825,0.058811,0.941189,False
huashang,000010.png,1024,1024,13844,865,0.062482,0.937518,False
huashang,000011.png,1024,1024,16213,975,0.060137,0.939863,False
huashang,000012.png,1024,1024,16343,931,0.056966,0.943034,False
huashang,000013.png,952,576,9527,1260,0.132256,0.867744,False
huashang,000014.png,952,576,10582,1507,0.142412,0.857588,False
huashang,000015.png,952,576,9274,1244,0.134138,0.865862,False
huashang,000016.png,952,576,3799,345,0.090813,0.909187,False
huashang,000017.png,952,576,4734,562,0.118716,0.881284,False
huashang,000018.png,952,576,3104,229,0.073776,0.926224,False
huashang,000019.png,952,576,1123,26,0.023152,0.976848,False
huashang,000020.png,952,576,6044,740,0.122435,0.877565,False
huashang,000021.png,952,576,936,188,0.200855,0.799145,False
huashang,000022.png,952,576,12802,1568,0.122481,0.877519,False
huashang,000023.png,952,576,16706,2086,0.124865,0.875135,False
huashang,000024.png,952,576,8323,963,0.115703,0.884297,False
huashang,000025.png,952,576,7462,888,0.119003,0.880997,False
huashang,000026.png,952,576,12854,1471,0.114439,0.885561,False
huashang,000027.png,952,576,11935,1399,0.117218,0.882782,False
huashang,000028.png,952,576,3430,483,0.140816,0.859184,False
huashang,000029.png,952,576,2826,441,0.156051,0.843949,False
huashang,000030.png,952,576,2255,247,0.109534,0.890466,False
huashang,000031.png,952,576,5189,296,0.057044,0.942956,False
huashang,000032.png,952,576,1388,120,0.086455,0.913545,False
