image_path,defect_type,true_label,score,predicted_label,error_type
test\aotu\000000.png,aotu,1,0.717805802822113,1,true_positive
test\aotu\000001.png,aotu,1,0.7297984957695007,1,true_positive
test\aotu\000002.png,aotu,1,0.7024673819541931,1,true_positive
test\aotu\000003.png,aotu,1,0.744194507598877,1,true_positive
test\aotu\000004.png,aotu,1,0.7206625938415527,1,true_positive
test\aotu\000005.png,aotu,1,0.8080998063087463,1,true_positive
test\aotu\000006.png,aotu,1,0.7107920050621033,1,true_positive
test\aotu\000007.png,aotu,1,0.6585138440132141,1,true_positive
test\aotu\000008.png,aotu,1,0.6808785796165466,1,true_positive
test\aotu\000009.png,aotu,1,0.7127092480659485,1,true_positive
test\aotu\000010.png,aotu,1,0.6571138501167297,1,true_positive
test\aotu\000011.png,aotu,1,0.6877891421318054,1,true_positive
test\aotu\000012.png,aotu,1,0.6883336305618286,1,true_positive
test\aotu\000013.png,aotu,1,0.6627527475357056,1,true_positive
test\aotu\000014.png,aotu,1,0.6422251462936401,1,true_positive
test\aotu\000015.png,aotu,1,0.6839911341667175,1,true_positive
test\aotu\000016.png,aotu,1,0.6850879788398743,1,true_positive
test\aotu\000017.png,aotu,1,0.7536922097206116,1,true_positive
test\aotu\000018.png,aotu,1,0.7664710879325867,1,true_positive
test\aotu\000019.png,aotu,1,0.7199819087982178,1,true_positive
test\aotu\000020.png,aotu,1,0.7210044264793396,1,true_positive
test\aotu\000021.png,aotu,1,0.6709871888160706,1,true_positive
test\aotu\000022.png,aotu,1,0.7439599633216858,1,true_positive
test\aotu\000023.png,aotu,1,0.6694476008415222,1,true_positive
test\aotu\000024.png,aotu,1,0.6437758207321167,1,true_positive
test\aotu\000025.png,aotu,1,0.6667384505271912,1,true_positive
test\aotu\000026.png,aotu,1,0.633273184299469,1,true_positive
test\aotu\000027.png,aotu,1,0.6554136872291565,1,true_positive
test\aotu\000028.png,aotu,1,0.6913750171661377,1,true_positive
test\aotu\000029.png,aotu,1,0.6572789549827576,1,true_positive
test\aotu\000030.png,aotu,1,0.7482438087463379,1,true_positive
test\aotu\000031.png,aotu,1,0.7199829816818237,1,true_positive
test\aotu\000032.png,aotu,1,0.7399080991744995,1,true_positive
test\aotu\000033.png,aotu,1,0.5229772329330444,0,false_negative
