defect_type,image_name,original_width,original_height,original_defect_pixels,letterbox_defect_pixels,scale,new_width,new_height,pad_left,pad_top,fully_lost
aotu,000000.png,1024,1024,1624,99,0.250000,256,256,0,0,False
aotu,000001.png,1024,1024,1191,74,0.250000,256,256,0,0,False
aotu,000002.png,1024,1024,857,54,0.250000,256,256,0,0,False
aotu,000003.png,1024,1024,41685,2616,0.250000,256,256,0,0,False
aotu,000004.png,1024,1024,49299,3081,0.250000,256,256,0,0,False
aotu,000005.png,1024,1024,11117,696,0.250000,256,256,0,0,False
aotu,000006.png,1024,1024,44548,2791,0.250000,256,256,0,0,False
aotu,000007.png,1024,1024,21503,1349,0.250000,256,256,0,0,False
aotu,000008.png,1024,1024,39508,2480,0.250000,256,256,0,0,False
aotu,000009.png,1024,1024,24351,1512,0.250000,256,256,0,0,False
aotu,000010.png,1024,1024,370,22,0.250000,256,256,0,0,False
aotu,000011.png,1024,1024,640,37,0.250000,256,256,0,0,False
aotu,000012.png,1024,1024,1413,86,0.250000,256,256,0,0,False
aotu,000013.png,1024,1024,3507,222,0.250000,256,256,0,0,False
aotu,000014.png,1024,1024,1484,92,0.250000,256,256,0,0,False
aotu,000015.png,1024,1024,1500,96,0.250000,256,256,0,0,False
aotu,000016.png,1024,1024,1748,107,0.250000,256,256,0,0,False
aotu,000017.png,1024,1024,850,53,0.250000,256,256,0,0,False
aotu,000018.png,1024,1024,356,20,0.250000,256,256,0,0,False
aotu,000019.png,1024,1024,3671,230,0.250000,256,256,0,0,False
aotu,000020.png,1024,1024,2343,149,0.250000,256,256,0,0,False
aotu,000021.png,1024,1024,1918,119,0.250000,256,256,0,0,False
aotu,000022.png,1024,1024,3640,228,0.250000,256,256,0,0,False
aotu,000023.png,1024,1024,2534,156,0.250000,256,256,0,0,False
aotu,000024.png,1024,1024,33139,2075,0.250000,256,256,0,0,False
aotu,000025.png,1024,1024,7258,455,0.250000,256,256,0,0,False
aotu,000026.png,1024,1024,18251,1141,0.250000,256,256,0,0,False
aotu,000027.png,1024,1024,14473,911,0.250000,256,256,0,0,False
aotu,000028.png,1024,1024,1777,110,0.250000,256,256,0,0,False
aotu,000029.png,1024,1024,200,12,0.250000,256,256,0,0,False
aotu,000030.png,1024,1024,8905,558,0.250000,256,256,0,0,False
aotu,000031.png,1024,1024,22113,1392,0.250000,256,256,0,0,False
aotu,000032.png,1024,1024,18081,1133,0.250000,256,256,0,0,False
aotu,000033.png,1024,1024,11206,712,0.250000,256,256,0,0,False
aotu,000034.png,1024,1024,20033,1252,0.250000,256,256,0,0,False
aotu,000035.png,1024,1024,24178,1518,0.250000,256,256,0,0,False
aotu,000036.png,1024,1024,14682,914,0.250000,256,256,0,0,False
aotu,000037.png,1024,1024,4339,270,0.250000,256,256,0,0,False
aotu,000038.png,1024,1024,31974,2004,0.250000,256,256,0,0,False
aotu,000039.png,1024,1024,20363,1270,0.250000,256,256,0,0,False
aotu,000040.png,1024,1024,34735,2164,0.250000,256,256,0,0,False
aotu,000041.png,1024,1024,11102,686,0.250000,256,256,0,0,False
aotu,000042.png,1024,1024,27074,1679,0.250000,256,256,0,0,False
aotu,000043.png,1024,1024,44917,2808,0.250000,256,256,0,0,False
aotu,000044.png,1024,1024,36585,2284,0.250000,256,256,0,0,False
aotu,000045.png,1024,1024,23644,1476,0.250000,256,256,0,0,False
aotu,000046.png,1024,1024,12400,782,0.250000,256,256,0,0,False
aotu,000047.png,1024,1024,19539,1203,0.250000,256,256,0,0,False
aotu,000048.png,1024,1024,49896,3102,0.250000,256,256,0,0,False
aotu,000049.png,1024,1024,66313,4148,0.250000,256,256,0,0,False
aotu,000050.png,1024,1024,42749,2674,0.250000,256,256,0,0,False
aotu,000051.png,1024,1024,47698,2960,0.250000,256,256,0,0,False
aotu,000052.png,1024,1024,12763,798,0.250000,256,256,0,0,False
aotu,000053.png,1024,1024,12763,798,0.250000,256,256,0,0,False
aotu,000054.png,1024,1024,18199,1135,0.250000,256,256,0,0,False
aotu,000055.png,1024,1024,13994,886,0.250000,256,256,0,0,False
aotu,000056.png,1024,1024,890,56,0.250000,256,256,0,0,False
aotu,000057.png,1024,1024,2492,155,0.250000,256,256,0,0,False
aotu,000058.png,1024,1024,1094,69,0.250000,256,256,0,0,False
aotu,000059.png,1024,1024,21376,1343,0.250000,256,256,0,0,False
aotu,000060.png,1024,1024,74538,4662,0.250000,256,256,0,0,False
aotu,000061.png,1024,1024,64858,4060,0.250000,256,256,0,0,False
aotu,000062.png,1024,1024,26894,1672,0.250000,256,256,0,0,False
aotu,000063.png,1024,1024,55786,3487,0.250000,256,256,0,0,False
aotu,000064.png,1024,1024,30421,1903,0.250000,256,256,0,0,False
aotu,000065.png,1024,1024,27997,1732,0.250000,256,256,0,0,False
aotu,000066.png,1024,1024,16378,999,0.250000,256,256,0,0,False
aotu,000067.png,1024,1024,23935,1498,0.250000,256,256,0,0,False
