image_path,defect_type,true_label,score,valid_patches
test\aotu\000000.png,aotu,1,0.8225418329238892,1024
test\aotu\000001.png,aotu,1,0.8452825546264648,1024
test\aotu\000002.png,aotu,1,0.8372117877006531,1024
test\aotu\000003.png,aotu,1,0.9008840918540955,1024
test\aotu\000004.png,aotu,1,0.8921899199485779,1024
test\aotu\000005.png,aotu,1,0.8197870850563049,1024
test\aotu\000006.png,aotu,1,0.9172072410583496,1024
test\aotu\000007.png,aotu,1,0.8183996081352234,1024
test\aotu\000008.png,aotu,1,0.8070259094238281,1024
test\aotu\000009.png,aotu,1,0.9100131988525391,1024
test\aotu\000010.png,aotu,1,0.8861706256866455,1024
test\aotu\000011.png,aotu,1,0.8846254348754883,1024
test\aotu\000012.png,aotu,1,0.8922259211540222,1024
test\aotu\000013.png,aotu,1,0.8837172389030457,1024
test\aotu\000014.png,aotu,1,0.8869359493255615,1024
test\aotu\000015.png,aotu,1,0.8823761940002441,1024
test\aotu\000016.png,aotu,1,0.8935578465461731,1024
test\aotu\000017.png,aotu,1,0.8714548349380493,1024
test\aotu\000018.png,aotu,1,0.885474443435669,1024
test\aotu\000019.png,aotu,1,0.9029804468154907,1024
test\aotu\000020.png,aotu,1,0.8895025253295898,1024
test\aotu\000021.png,aotu,1,0.8915900588035583,1024
test\aotu\000022.png,aotu,1,0.8926307559013367,1024
test\aotu\000023.png,aotu,1,0.889596164226532,1024
test\aotu\000024.png,aotu,1,0.8899818658828735,1024
test\aotu\000025.png,aotu,1,0.8802366852760315,1024
test\aotu\000026.png,aotu,1,0.894951581954956,1024
test\aotu\000027.png,aotu,1,0.8871117830276489,1024
test\aotu\000028.png,aotu,1,0.8231473565101624,1024
test\aotu\000029.png,aotu,1,0.8320565223693848,1024
test\aotu\000030.png,aotu,1,0.8827822804450989,1024
test\aotu\000031.png,aotu,1,0.8781746625900269,1024
test\aotu\000032.png,aotu,1,0.8808536529541016,1024
test\aotu\000033.png,aotu,1,0.7952864170074463,1024
test\aotu\000034.png,aotu,1,0.8827468156814575,1024
test\aotu\000035.png,aotu,1,0.8656469583511353,1024
test\aotu\000036.png,aotu,1,0.8595747351646423,1024
test\aotu\000037.png,aotu,1,0.8577223420143127,1024
test\aotu\000038.png,aotu,1,0.8668338656425476,1024
test\aotu\000039.png,aotu,1,0.853769063949585,1024
test\aotu\000040.png,aotu,1,0.8610494136810303,1024
test\aotu\000041.png,aotu,1,0.9247851967811584,1024
test\aotu\000042.png,aotu,1,0.9212838411331177,1024
test\aotu\000043.png,aotu,1,0.8640030026435852,1024
test\aotu\000044.png,aotu,1,0.83204185962677,1024
test\aotu\000045.png,aotu,1,0.8657556772232056,1024
test\aotu\000046.png,aotu,1,0.9268864989280701,1024
test\aotu\000047.png,aotu,1,0.9231430888175964,1024
test\aotu\000048.png,aotu,1,0.9230851531028748,1024
test\aotu\000049.png,aotu,1,0.8642588257789612,1024
test\aotu\000050.png,aotu,1,0.8624748587608337,1024
test\aotu\000051.png,aotu,1,0.9143438935279846,1024
test\aotu\000052.png,aotu,1,0.9572700262069702,1024
test\aotu\000053.png,aotu,1,0.8857813477516174,1024
test\aotu\000054.png,aotu,1,0.9190639853477478,1024
test\aotu\000055.png,aotu,1,0.9232686758041382,1024
test\aotu\000056.png,aotu,1,0.8482967615127563,1024
test\aotu\000057.png,aotu,1,0.8474307656288147,1024
test\aotu\000058.png,aotu,1,0.8450266718864441,1024
test\aotu\000059.png,aotu,1,0.9156714081764221,1024
test\aotu\000060.png,aotu,1,0.9011963605880737,1024
test\aotu\000061.png,aotu,1,0.8970670104026794,1024
test\aotu\000062.png,aotu,1,0.8666166663169861,1024
test\aotu\000063.png,aotu,1,0.8997368812561035,1024
test\aotu\000064.png,aotu,1,0.8718588948249817,1024
test\aotu\000065.png,aotu,1,0.8681578040122986,1024
test\aotu\000066.png,aotu,1,0.8679304718971252,1024
test\aotu\000067.png,aotu,1,0.8686181306838989,1024
test\aotu\000068.png,aotu,1,0.8916158676147461,1024
test\aotu\000069.png,aotu,1,0.8437561988830566,1024
test\aotu\000070.png,aotu,1,0.8548649549484253,1024
test\aotu\000071.png,aotu,1,0.8707351684570312,1024
test\aotu\000072.png,aotu,1,0.9016866683959961,1024
test\aotu\000073.png,aotu,1,0.8151977062225342,1024
test\aotu\000074.png,aotu,1,0.7980978488922119,1024
test\aotu\000075.png,aotu,1,0.7816208004951477,1024
test\aotu\000076.png,aotu,1,0.7979873418807983,1024
test\aotu\000077.png,aotu,1,0.8434728384017944,1024
test\aotu\000078.png,aotu,1,0.8183095455169678,1024
test\aotu\000079.png,aotu,1,0.8567796349525452,1024
test\bianxing\000000.png,bianxing,1,0.9256488084793091,1024
test\bianxing\000001.png,bianxing,1,0.8674023747444153,1024
test\bianxing\000002.png,bianxing,1,0.8268894553184509,1024
test\bianxing\000003.png,bianxing,1,0.8375495076179504,384
test\bianxing\000004.png,bianxing,1,0.8105717897415161,384
test\bianxing\000005.png,bianxing,1,0.8324562907218933,384
test\bianxing\000006.png,bianxing,1,0.8747233748435974,1024
test\bianxing\000007.png,bianxing,1,0.813743531703949,1024
test\bianxing\000008.png,bianxing,1,0.8852807879447937,1024
test\bianxing\000009.png,bianxing,1,0.8069257736206055,1024
test\bianxing\000010.png,bianxing,1,0.8218541741371155,1024
test\bianxing\000011.png,bianxing,1,0.8687149882316589,1024
test\bianxing\000012.png,bianxing,1,0.8625746965408325,1024
test\bianxing\000013.png,bianxing,1,0.8651449084281921,1024
test\bianxing\000014.png,bianxing,1,0.8939211368560791,1024
test\bianxing\000015.png,bianxing,1,0.8627777695655823,1024
test\bianxing\000016.png,bianxing,1,0.9226544499397278,1024
test\bianxing\000017.png,bianxing,1,0.9181483387947083,1024
test\bianxing\000018.png,bianxing,1,0.9204283952713013,1024
test\bianxing\000019.png,bianxing,1,0.917873740196228,1024
test\bianxing\000020.png,bianxing,1,0.9183487296104431,1024
test\bianxing\000021.png,bianxing,1,0.8331705927848816,1024
test\bianxing\000022.png,bianxing,1,0.8987675309181213,1024
test\bianxing\000023.png,bianxing,1,0.8576334714889526,1024
test\bianxing\000024.png,bianxing,1,0.8940069675445557,1024
test\bianxing\000025.png,bianxing,1,0.8542347550392151,1024
test\bianxing\000026.png,bianxing,1,0.8705911636352539,1024
test\bianxing\000027.png,bianxing,1,0.861059844493866,1024
test\bianxing\000028.png,bianxing,1,0.8266807198524475,1024
test\bianxing\000029.png,bianxing,1,0.8207269906997681,1024
test\bianxing\000030.png,bianxing,1,0.8325729966163635,1024
test\bianxing\000031.png,bianxing,1,0.8372512459754944,1024
test\bianxing\000032.png,bianxing,1,0.8347047567367554,1024
test\bianxing\000033.png,bianxing,1,0.8300069570541382,1024
test\bianxing\000034.png,bianxing,1,0.8228306174278259,1024
test\bianxing\000035.png,bianxing,1,0.8581467866897583,1024
test\bianxing\000036.png,bianxing,1,0.8173811435699463,1024
