image_path,defect_type,true_label,score,valid_patches
test\aotu\000000.png,aotu,1,0.7890750169754028,1024
test\aotu\000001.png,aotu,1,0.7938164472579956,1024
test\aotu\000002.png,aotu,1,0.7178991436958313,1024
test\aotu\000003.png,aotu,1,0.8172910213470459,1024
test\aotu\000004.png,aotu,1,0.7805242538452148,1024
test\aotu\000005.png,aotu,1,0.7738164663314819,1024
test\aotu\000006.png,aotu,1,0.7460782527923584,1024
test\aotu\000007.png,aotu,1,0.7281689047813416,1024
test\aotu\000008.png,aotu,1,0.7243237495422363,1024
test\aotu\000009.png,aotu,1,0.7605640888214111,1024
test\aotu\000010.png,aotu,1,0.7405332922935486,1024
test\aotu\000011.png,aotu,1,0.7290283441543579,1024
test\aotu\000012.png,aotu,1,0.7516507506370544,1024
test\aotu\000013.png,aotu,1,0.6657806634902954,1024
test\aotu\000014.png,aotu,1,0.6670408844947815,1024
test\aotu\000015.png,aotu,1,0.7349478006362915,1024
test\aotu\000016.png,aotu,1,0.6758831739425659,1024
test\aotu\000017.png,aotu,1,0.7642406225204468,1024
test\aotu\000018.png,aotu,1,0.7611955404281616,1024
test\aotu\000019.png,aotu,1,0.7428961396217346,1024
test\aotu\000020.png,aotu,1,0.7463021278381348,1024
test\aotu\000021.png,aotu,1,0.7053552865982056,1024
test\aotu\000022.png,aotu,1,0.7681147456169128,1024
test\aotu\000023.png,aotu,1,0.704129695892334,1024
test\aotu\000024.png,aotu,1,0.6716393232345581,1024
test\aotu\000025.png,aotu,1,0.6653813719749451,1024
test\aotu\000026.png,aotu,1,0.6648702621459961,1024
test\aotu\000027.png,aotu,1,0.6652550101280212,1024
test\aotu\000028.png,aotu,1,0.6877518892288208,1024
test\aotu\000029.png,aotu,1,0.7120491862297058,1024
test\aotu\000030.png,aotu,1,0.7522097229957581,1024
test\aotu\000031.png,aotu,1,0.6961690187454224,1024
test\aotu\000032.png,aotu,1,0.7977817058563232,1024
test\aotu\000033.png,aotu,1,0.5851205587387085,1024
test\aotu\000034.png,aotu,1,0.7509238719940186,1024
test\aotu\000035.png,aotu,1,0.6990020871162415,1024
test\aotu\000036.png,aotu,1,0.7204441428184509,1024
test\aotu\000037.png,aotu,1,0.722517728805542,1024
test\aotu\000038.png,aotu,1,0.6784249544143677,1024
test\aotu\000039.png,aotu,1,0.704706072807312,1024
test\aotu\000040.png,aotu,1,0.7077415585517883,1024
test\aotu\000041.png,aotu,1,0.5487257838249207,1024
test\aotu\000042.png,aotu,1,0.5575938820838928,1024
test\aotu\000043.png,aotu,1,0.7085956931114197,1024
test\aotu\000044.png,aotu,1,0.7021800875663757,1024
test\aotu\000045.png,aotu,1,0.7721843123435974,1024
test\aotu\000046.png,aotu,1,0.5886793732643127,1024
test\aotu\000047.png,aotu,1,0.6277028918266296,1024
test\aotu\000048.png,aotu,1,0.6536194086074829,1024
test\aotu\000049.png,aotu,1,0.7280380129814148,1024
test\aotu\000050.png,aotu,1,0.7431104183197021,1024
test\aotu\000051.png,aotu,1,0.6033011674880981,1024
test\aotu\000052.png,aotu,1,0.7493700981140137,1024
test\aotu\000053.png,aotu,1,0.7232999801635742,1024
test\aotu\000054.png,aotu,1,0.670883059501648,1024
test\aotu\000055.png,aotu,1,0.6011670231819153,1024
test\aotu\000056.png,aotu,1,0.6907730102539062,1024
test\aotu\000057.png,aotu,1,0.7029204368591309,1024
test\aotu\000058.png,aotu,1,0.6822783350944519,1024
test\aotu\000059.png,aotu,1,0.7614946365356445,1024
test\aotu\000060.png,aotu,1,0.5997135639190674,1024
test\aotu\000061.png,aotu,1,0.5591290593147278,1024
test\aotu\000062.png,aotu,1,0.659710168838501,1024
test\aotu\000063.png,aotu,1,0.6964555382728577,1024
test\aotu\000064.png,aotu,1,0.6821602582931519,1024
test\aotu\000065.png,aotu,1,0.6271514296531677,1024
test\aotu\000066.png,aotu,1,0.6367857456207275,1024
test\aotu\000067.png,aotu,1,0.7369349002838135,1024
test\aotu\000068.png,aotu,1,0.653019368648529,1024
test\aotu\000069.png,aotu,1,0.7327863574028015,1024
test\aotu\000070.png,aotu,1,0.6250680685043335,1024
test\aotu\000071.png,aotu,1,0.6608448028564453,1024
test\aotu\000072.png,aotu,1,0.7613368630409241,1024
test\aotu\000073.png,aotu,1,0.7885116338729858,1024
test\aotu\000074.png,aotu,1,0.7861604690551758,1024
test\aotu\000075.png,aotu,1,0.6531202793121338,1024
test\aotu\000076.png,aotu,1,0.6548160314559937,1024
test\aotu\000077.png,aotu,1,0.7485570311546326,1024
test\aotu\000078.png,aotu,1,0.5572713017463684,1024
test\aotu\000079.png,aotu,1,0.5827265977859497,1024
test\bianxing\000000.png,bianxing,1,0.5884052515029907,1024
test\bianxing\000001.png,bianxing,1,0.6675367951393127,1024
test\bianxing\000002.png,bianxing,1,0.7062364220619202,1024
test\bianxing\000003.png,bianxing,1,0.7732505798339844,384
test\bianxing\000004.png,bianxing,1,0.6459587216377258,384
test\bianxing\000005.png,bianxing,1,0.7629973888397217,384
test\bianxing\000006.png,bianxing,1,0.6558697819709778,1024
test\bianxing\000007.png,bianxing,1,0.5675538182258606,1024
test\bianxing\000008.png,bianxing,1,0.7215868234634399,1024
test\bianxing\000009.png,bianxing,1,0.5767614245414734,1024
test\bianxing\000010.png,bianxing,1,0.5886439681053162,1024
test\bianxing\000011.png,bianxing,1,0.7119090557098389,1024
test\bianxing\000012.png,bianxing,1,0.6714245080947876,1024
test\bianxing\000013.png,bianxing,1,0.7113322019577026,1024
test\bianxing\000014.png,bianxing,1,0.5794684886932373,1024
test\bianxing\000015.png,bianxing,1,0.7215090394020081,1024
test\bianxing\000016.png,bianxing,1,0.5927945375442505,1024
test\bianxing\000017.png,bianxing,1,0.5618351101875305,1024
test\bianxing\000018.png,bianxing,1,0.5930473804473877,1024
test\bianxing\000019.png,bianxing,1,0.5792924761772156,1024
test\bianxing\000020.png,bianxing,1,0.5100886821746826,1024
test\bianxing\000021.png,bianxing,1,0.7290161848068237,1024
test\bianxing\000022.png,bianxing,1,0.6421652436256409,1024
test\bianxing\000023.png,bianxing,1,0.6517720818519592,1024
test\bianxing\000024.png,bianxing,1,0.563056230545044,1024
test\bianxing\000025.png,bianxing,1,0.625579833984375,1024
test\bianxing\000026.png,bianxing,1,0.6207813024520874,1024
